"","HLTH_SERVICE_DLVR_AREA_NAME","year","month","date","pm25","background_pm25","wildfire_pm25"
"1","East Kootenay",2023,1,2023-01-01,0.934143169869658,0.86,0.074143169869658
"2","East Kootenay",2023,1,2023-01-01,0.873055991903804,0.86,0.013055991903804
"3","East Kootenay",2023,1,2023-01-01,0.86,0.86,0
"4","East Kootenay",2023,2,2023-02-01,0.828272011874201,0.807142857142857,0.021129154731344
"5","East Kootenay",2023,2,2023-02-01,0.807142857142857,0.807142857142857,0
"6","East Kootenay",2023,2,2023-02-01,0.807142857142857,0.807142857142857,0
"7","East Kootenay",2023,3,2023-03-01,1.22221249895687,1.11428571428571,0.10792678467116
"8","East Kootenay",2023,3,2023-03-01,1.11428571428571,1.11428571428571,0
"9","East Kootenay",2023,3,2023-03-01,1.15545233237155,1.11428571428571,0.041166618085837
"10","East Kootenay",2023,3,2023-03-01,1.11428571428571,1.11428571428571,0
"11","East Kootenay",2023,3,2023-03-01,1.29522649282794,1.11428571428571,0.180940778542221
"12","East Kootenay",2023,4,2023-04-01,1.59970618801902,1.42571428571429,0.173991902304739
"13","East Kootenay",2023,4,2023-04-01,1.54887101589313,1.42571428571429,0.123156730178843
"14","East Kootenay",2023,4,2023-04-01,1.48983194332663,1.42571428571429,0.064117657612341
"15","East Kootenay",2023,4,2023-04-01,1.42571428571429,1.42571428571429,0
"16","East Kootenay",2023,4,2023-04-01,1.43887058328289,1.42571428571429,0.013156297568609
"17","East Kootenay",2023,4,2023-04-01,1.61194654743274,1.42571428571429,0.186232261718459
"18","East Kootenay",2023,5,2023-05-01,1.89888378516576,1.8,0.09888378516576
"19","East Kootenay",2023,5,2023-05-01,2.42151719172927,1.8,0.621517191729274
"20","East Kootenay",2023,5,2023-05-01,1.8073282166115,1.8,0.00732821661149707
"21","East Kootenay",2023,5,2023-05-01,2.00468351971411,1.8,0.20468351971411
"22","East Kootenay",2023,5,2023-05-01,1.88467582435791,1.8,0.084675824357912
